id,w2v
70, ह ा   ति   प ा न ी   ग ळ तील र ु क ण्या स ा ठी   आ णि   प ा ि   च्या  आहे त  प्र च न् न  प् र मा ण म ध्ये  वा ळ्या  ज ा त ा हे   आ णि   त े  झ ा ड ा न न   ज ा त ा म ज अ ग ल श् ा   हे ज े च ां ग ल्या च ा  र ो हे   आ ह   भ ा ग  हे  त्या  भा गा बा र ं   पू र्ण   प ण   ये त  आहे   
71, ल हा न ू लं  ु ध ा  ग स ू र   श क त ा त   आ णि   प ाआ ण ि  ह त  य ा   म ो ठ्या  प्र म ा ण ा म ध ी  क ि त े   स ा स ले ल ा आहे   कि त्या  व र क् ष च् ा   ड ा स ज े  आ हे   ते   ब स ू न ह ज ा र  ब े ग री हो ण्या च ी   क व्या  ल हा न गु ल  आ हे त  त्य न्न ा क ा य व ळ े ल क ् ष ा र य त न्या त ्या म ळ े  त ा च ्या   र स ु ध ा  क ा हे त े त ी   दु प र ा  म ो ण्या च ी   श क क्य त  आ हे   
72, हो ठी के   ह ा   त ु मही ल उ क र ा त  ल उ क र   म धीे  ज का ल   पा सून  ज व ज व ळ ही   ग ळ ती   हो त्या  त्या म ळ ी   प्र च न्न  प्र म ण ा म ध्ये  पा णी  स ु ध ं   आ ह ू न  गे ल े लं  आ हे   
73, त्या म ळ  ल व क र ा त  ल व क ा तुम्ही   को ण्या   अ से ल   त या  स ं द र ्भ ा म ध्े   क ा म   क र ण ा र ा च ं ल   को ण ्याअ से ल  क र् म च ा री त्या  क ् म च्यार ा ला प ा ठ व ू न  ल व क र या त ल व क र  ह ी   ग ळ त ी  ज ी  आहे ती   थ ां ब ू  आ व े   
74, ह या   स ा ठ ी ए क स ज क   न ा ग री   म ण मी  त ु म्हा ल ा ही  वी न ं त ि क र ी त े   व ा णी  न ग त ी   त ु म्ी  म ा झ्या   या ध्े   प्र्य त न ग र ा ल   क ी   हा   ज ो   म ी   तुम्हाला  मा हि ती   दि ल ी   आहे   क ि व ा   म ी जि म   क ॉ म ् प्ल े ट न   म न ा र ी   क ी   क ु ठ ल्या  प ्र क ा ची  क ा ं ची   हे छ ो ट ा स   क ाय   मा ह े ते   क ा म  त ु म्ही न क खी च   क र ा ल   ह ो   ह   ी   ह     
75, ओ  ध न्य वा द  आ णि   बा की   ब ा ग े   भ ा ग े  म ध्ये  स ग ळ्या   त र व व ा स् थ ा  पू र् ण   आ ह े त  अ   या ब द ल व ा द स न े   ही   प ण   च ो टी च ी ज ी   आहे   च ो ट ा स ा क ा  म ा हे त े   प ण  त ुमही  न क ी स   क र ा ल   या त व ा द स न े   
76, ह ोव   स ा हे  ब त वू   न क ी   न क ी   
77, हो   ध न्य बा द ध न्यवा द त ुमही ल व क रा त ल व क र्या व र ं   क ा हे त र  ये  ह पा  यो ज ना   क र ा ल   अ श ी   आ श ा वा ळ क  त े   ह   ध न्य वा द  ध न्य वा द  स ा व   
78, म ी   प ी ए म क े व ी व ाय   प्र शि क ् ष ण   क ा र्य   क्र म ा त   न ा व   नो ं द नी   क श ी   क रू   श क त ो   मी   को ल क त ा   म धी ल   स े त ी   म धी ल  अ भ्या स क्र म   श ो ध   आ हे   
79, ह ल ो   ह ा म ा म ी   अ ड ु क र ी  स ् क ु त ी ग ु ल   क े   त ु म्ही   द ि क कि म ा न   बो ल ता  ये त क ा   
80, म ला   त ु म   च न ब न भ े त ल ा म ि   ब गी त ल ह त र  प ोह च त   ज ा त ा ने   की   तु म च ेा  क ड े   अ व े ल े ब ल ा आ हे     ट्रे न िं ग  स ा ठी   म प ो र्ट   ल प ो र्ट स     श ि क ण्या स ा ठी   म ी च ु क े   हॉ क ी   स ा ठी   त र त ु म च ा  क डा   अ व े ले ब ल  आ हे   क ी त ा   ज ा गा   
81, न ी   म ी   ह ो की   च द्य ा ह की  ज य न   क र न ा र े   क न क ॉ ल े   च ा   ट ाइ म  म ग र्य  अॅ ग ज रि स  क र ू ज म ल ं   त र   हे ा   
82, म ा झ   क ॉ ल े ज  च   ट ाइ स क ा ळी   स ा ठी   स ा त े   स ा ठ े   ब ा र ा   प र्यं त  अ त ो   न ं त र  म ल ा   दि व स ं स   प न   स त   त्या   म ो   अॅ ग ् र े ट  झ ा ल ं   प ाहि ले   
83, च ा ल ल   म ज ये   द ु प ा र   च्या व े ळ   च ा ल े   त र   च ा ल े ल   की   स ं ध्या  का ी   सा गे ल े ब ल   आ ह त म ी   
84, आ ज ु न को ण को ण त े   स प ो र्ट्   च ा अ  वे लेए ब ल   त ु म च े  क ी डे   
85,   
86,   
87, म ो त ि क   आ णि   प ी जझ   क ि त ी   ग र त ं  त ुम्ही   ए का स प ो र्ट   स ा ठी   क ध्ये  हॉ की   सा ठी   
88, च   
89, क त म ल ा म ज े त ु म   च ा   ह े   ब ा ग या ल ं भ े त ी ल   क   ग् रा ग र े   त ू म  भ ठ ा ल   क ा   
90, म ा झ न े   आ ज न ी   ज म न र् म ल ा   हो   उ द ्या   उ द म ी   स ां ग त  तू  म ला   न ती   
91, थ व   
92, च   आ णि   य   फ ॅ स ि ल ि ट ी ज   क ाय  ए आ प ल प ो र ्ट   च े ड्र े स   व ग र  ा प ल्या स त ा   की   त ु म्ही  प्र ो वाइ ड   क र त ा त  
93, म ां थ  म ध े   स्वा त ा च ी   घ े ये ल  ला ग त ा  का   
94,   
95, प ु न ह ो ल क ी   य े ल   न ि य ा त न ं ब र व ड च ी   क ॉ ल   क र ू न  त ु म् ला   
96, ह ो   उ ठ े   त्रि की ट  च ॅ न ल   थ ॅं क  यू   
97, प श् चि म  ब ं ग ा ल   र ा ज्य   व ि द् ु थ   व ि त र ण   क ं प न ी   ल ि मि ट े ड   लि मि ट े ड  व र   म ा झ्या   वि ज य च्या   बि ला भ ा ब त   त क्रा र  न ों द व ण्या सा ठी   म ी   क ो ण ा च ी   स ं प र् क   स ा ध ा व ा   
98, हे   त ा ई  अ स त े   व त्या ल ा   क ा ल च्या  स त र ा शी   ज ो ळ न ा र ी   ए क प ॅ ट   ड ि स् क  अ स ते   
99, छ ा ल व   ब ण  हो त ा   
100,   
101, ह ां   ब ो   
102, म ो ड  घ र   
103, व र   
104, म   
105, म त ा   त ु   ज े व ा   अ प र े ज ल   च ी  अ प े क् ष ा   क र त े   श् मी   प ंण ज र ा   च ां ग ल्या   क ा म ा च ी  अ पे क् ष ा   क र त े   त ु झ ा   क ड ू न  
106, अ त ् त ा च ं   ब् रो ा   ड ि ज ाई न   त ू म्हा ला   द ो न   द ि व स ा त   क म प् ली ट   क र ू न   द े ण ा र हो त े   स ते   अ जू न   झ ा ल ं  न ा े   आ णि   म ा ग   च ा 
107, प ण  आ त ा   क ् ल ा   ज र च ा   ड ि ज ाई न   व र   च य व ड त प ट त  न ा े   म हा प ण त व ड् ा त च ा व े क श ा त ् यं च् ा हे  श ो ब ा न े   ड ि ा न   प े क्ष ि त   अ स त ा  न ा   
108, अ न   क   थ ा ट   
109, म क ् त   ड ि ल े   च ी   गो ष् ट न ा हि   आ हे   मउ त ् त ा   आ त ा   म ा च ा   ज ल ा ल ा   प ो स्ट च् ा   डि ज ाइ न   द य च ्या  ह त्या   त्यां च ्या   प ोह ् च ्या   ड ि ज ाई न   त ा न ा   व ड्या   च ां ग ल ्या आ व ड ल्या   न ा   े   आ व न   प ण   ठ ी क े   प त्या   ज ् हा या   दि व शी   प ो सट  क र ाय च ्या च्या   दि व शी च्या   प ू र् ण  हो त्या त म क त ्या ज   दिव शी  ा प ं च्या च्या   क डू न  ए क् स े प् ट  क र ू न  घ े त ं   पा र स   ब े ड ल ाइ न स  म स  ो त ाय च   
110, डि ज ाय न र  हू न अ प ल ा   फ क् त   डि ज ाय न   क र न ा   हे   क ा म   न स त ा न  आ प ल्य ल ा   हे   प ण स म र च ा ल प ट वं द े त ा ल प ाय च े   की  आ ल ा   डि ज ाय न   क स ं   च ा ं ग ल या   उ ज र   म ा झ् ा   ए ज ं स ी   त् रू   ड ि ायइ न   क र ती   आ णि   म ा ज ा   न ा व त कि थ े   ला ग त ाय   मु ् त ा   त र म ग ज र   स म र् च  आ स ं   डि ज ा न   ब क ् त   म ला   व ड् या ल   व न   
111, 
112, अ त ा च ा प्र द क ् त ु क  क ध ी   क म ्प्ली ट   क र ू न न ि ण ा ल्य स   म ल ा   क्वी क   ाय न ल  ल े ट   स ां ग ा ल ा   त ा य श ब  आ ने   म ल ा   क्ल ॅ न   शी  वो ध र ा   
113, म ए क प ट   
114, म ी ह ा   क ा म ल ा   खु ज   च ां ग ल ं   अ पे क् ष ा   क र त े  द ु ज ा   क डू न  क ि   त ू च ां ग ल ं   डि ज ाई न   ए श ी ल  म ला   
115, उ द्या प ा च   प र्यं त   म ल ा   म े ल ा ल ा  ब ाह ज ं   ब ी ज ायं च ा   
116, म र ा   ठी  क ा   
117, त ी क   
118, ऑ ल रे डी   ट व   आ ठ व ड्या भ र ा पा सू न  व   प्र म्ह म   क र ती  ये त   
119, म ा ज   
120, घ र  
